Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
01/01/2000;0;null;null;null;10;0;null;null;26.2;25.2;null;92;23;1;60
01/01/2000;1200;null;null;null;9;0.3;null;null;24.4;24;null;97;32;1;60
01/01/2000;1800;null;null;null;8;0;null;null;31.8;28;null;74;5;3;60
02/01/2000;0;null;null;null;5;0;null;null;29;26.8;null;83;5;1;60
02/01/2000;1200;null;null;null;9;0;null;null;26.8;25.2;null;87;36;3;60
02/01/2000;1800;null;null;null;8;0;null;null;32.4;29.4;null;79;32;3;60
03/01/2000;0;null;null;null;8;0;null;null;26.4;25.8;null;95;14;1;50
03/01/2000;1200;null;null;null;9;1;null;null;23.2;22.6;null;95;36;1;60
03/01/2000;1800;null;null;null;8;0;null;null;31.2;29.2;null;86;32;3;60
04/01/2000;0;null;null;null;8;0;null;null;28.2;27;null;91;32;1;60
04/01/2000;1200;null;null;null;8;0;null;null;25.4;24.8;null;95;0;0;60
04/01/2000;1800;null;null;null;8;0;null;null;33.6;29.6;null;73;5;3;60
05/01/2000;0;null;null;null;8;0;null;null;25.6;24.8;null;93;23;1;20
05/01/2000;1200;null;null;null;8;0;null;null;25.2;24.6;null;95;32;1;60
05/01/2000;1800;null;null;null;8;0;null;null;33.2;29.8;null;77;23;3;60
06/01/2000;0;null;null;null;10;11.7;null;null;23.8;23.4;null;97;14;3;50
06/01/2000;1200;null;null;null;8;0.8;null;null;23.2;22.4;null;93;14;1;60
06/01/2000;1800;null;null;null;8;0;null;null;31.6;29.6;null;86;5;3;60
07/01/2000;0;null;null;null;10;0;null;null;26.4;25.8;null;95;14;1;50
07/01/2000;1200;null;null;null;8;9.6;null;null;22.4;22.2;null;98;23;1;60
07/01/2000;1800;null;null;null;8;0;null;null;30.2;27.6;null;81;32;3;60
08/01/2000;0;null;null;null;8;0.2;null;null;25;24.8;null;98;23;1;60
08/01/2000;1200;null;null;null;8;0;null;null;29.4;28.4;null;92;5;1;60
08/01/2000;1800;null;null;null;8;0;null;null;31.4;27.4;null;72;32;1;60
09/01/2000;0;null;null;null;8;0;null;null;27.8;26.8;null;92;32;1;60
09/01/2000;1200;null;null;null;7;0;null;null;25.4;24.8;null;95;0;0;60
09/01/2000;1800;null;null;null;10;0.6;null;null;26.6;25.8;null;94;32;3;50
10/01/2000;0;null;null;null;10;1.4;null;null;24.2;24;null;98;0;0;50
10/01/2000;1200;null;null;null;9;0.7;null;null;22.6;22.4;null;98;0;0;60
10/01/2000;1800;null;null;null;9;0;null;null;32;29;null;79;14;3;60
11/01/2000;0;null;null;null;10;8.1;null;null;26.2;25.6;null;95;23;1;60
11/01/2000;1200;null;null;null;8;21.5;null;null;24.8;24.4;null;97;23;1;60
11/01/2000;1800;null;null;null;9;1.4;null;null;32.2;29.2;null;79;5;3;60
12/01/2000;0;null;null;null;8;21.9;null;null;25.2;25;null;98;5;1;60
12/01/2000;1200;null;null;null;10;2.6;null;null;23.6;23.4;null;98;5;1;50
12/01/2000;1800;null;null;null;10;0;null;null;27.6;26;null;87;23;1;60
13/01/2000;0;null;null;null;8;0;null;null;26;25.6;null;97;0;0;60
13/01/2000;1200;null;null;null;8;0.6;null;null;24.2;24;null;98;23;1;60
13/01/2000;1800;null;null;null;8;0;null;null;28.6;25.6;null;78;5;3;60
14/01/2000;0;null;null;null;6;0;null;null;26.4;25.6;null;93;0;0;60
14/01/2000;1200;null;null;null;9;12.4;null;null;24;23.8;null;98;5;3;60
14/01/2000;1800;null;null;null;10;10.8;null;null;24;23.8;null;98;23;1;50
15/01/2000;0;null;null;null;10;0;null;null;24;23.6;null;97;0;0;50
15/01/2000;1200;null;null;null;9;0;null;null;23.8;23.2;null;95;32;1;60
15/01/2000;1800;null;null;null;9;0.7;null;null;29.2;26.4;null;79;32;1;60
16/01/2000;0;null;null;null;9;1.6;null;null;24.8;24.4;null;97;32;1;60
16/01/2000;1200;null;null;null;8;4.6;null;null;24;23.8;null;98;5;1;60
16/01/2000;1800;null;null;null;8;0;null;null;29.4;26.8;null;81;32;3;60
17/01/2000;0;null;null;null;10;12.2;null;null;24;23.8;null;98;32;1;50
17/01/2000;1200;null;null;null;9;12.8;null;null;23.4;23.2;null;98;32;1;60
17/01/2000;1800;null;null;null;8;0;null;null;28.2;26.2;null;85;5;3;60
18/01/2000;0;null;null;null;8;0;null;null;26.2;25.4;null;93;36;1;60
