Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
01/01/2000;0;null;null;null;10;0;null;null;26.4;25.5;null;93;14;1;20
01/01/2000;1200;null;null;null;10;0;null;null;24.5;23.5;null;92;36;1;20
01/01/2000;1800;null;null;null;8;7;null;null;26.4;25.5;null;93;9;1;60
02/01/2000;0;null;null;null;10;0;null;null;27.1;26.2;null;93;5;1;20
02/01/2000;1200;null;null;null;9;0;null;null;25.1;24.2;null;93;36;1;50
02/01/2000;1800;null;null;null;9;0;null;null;30.1;28;null;85;36;1;60
03/01/2000;0;null;null;null;0;0;null;null;26.3;24;null;83;0;0;50
03/01/2000;1200;null;null;null;8;0;null;null;24.7;24;null;94;14;1;60
03/01/2000;1800;null;null;null;8;0;null;null;30.9;28.5;null;84;36;1;50
04/01/2000;0;null;null;null;0;0;null;null;27.9;26.5;null;90;0;0;20
04/01/2000;1200;null;null;null;9;0;null;null;24.9;24;null;93;9;1;20
04/01/2000;1800;null;null;null;7;0;null;null;32.4;28.5;null;75;36;1;60
05/01/2000;0;null;null;null;0;0;null;null;26.4;25.4;null;92;0;0;50
05/01/2000;1200;null;null;null;7;0;null;null;25.5;24.8;null;94;5;1;50
05/01/2000;1800;null;null;null;8;0;null;null;34.9;30;null;70;5;1;60
06/01/2000;0;null;null;null;0;0;null;null;28.9;27.4;null;89;0;0;50
06/01/2000;1200;null;null;null;9;0;null;null;24.7;23.5;null;90;14;1;50
06/01/2000;1800;null;null;null;9;0;null;null;31.2;28.2;null;80;9;1;60
07/01/2000;0;null;null;null;10;0;null;null;25.8;23;null;79;18;1;20
07/01/2000;1200;null;null;null;7;0;null;null;23.9;23;null;93;14;1;60
07/01/2000;1800;null;null;null;7;0;null;null;31.9;28;null;74;36;1;60
08/01/2000;0;null;null;null;10;0;null;null;26.4;25;null;89;14;1;20
08/01/2000;1200;null;null;null;9;0;null;null;24.9;23.4;null;88;32;1;50
08/01/2000;1800;null;null;null;9;0;null;null;31.3;27.4;null;74;27;1;50
09/01/2000;0;null;null;null;8;3;null;null;26.9;26;null;93;14;1;20
09/01/2000;1200;null;null;null;10;0.2;null;null;24.3;23.3;null;92;14;1;50
09/01/2000;1800;null;null;null;10;0;null;null;29.9;28;null;87;18;1;50
10/01/2000;0;null;null;null;8;0.4;null;null;23.7;23;null;94;14;1;50
10/01/2000;1200;null;null;null;10;5;null;null;22.5;22;null;96;18;1;20
10/01/2000;1800;null;null;null;10;2;null;null;24.9;24;null;93;9;1;50
11/01/2000;0;null;null;null;9;13.4;null;null;24.1;23.5;null;95;14;1;20
11/01/2000;1200;null;null;null;9;0;null;null;23.1;22.2;null;93;18;1;50
11/01/2000;1800;null;null;null;8;0;null;null;31.9;28.2;null;76;36;1;60
12/01/2000;0;null;null;null;9;8.4;null;null;23.9;23;null;93;9;1;20
12/01/2000;1200;null;null;null;9;0.4;null;null;23.5;22.6;null;93;14;1;60
12/01/2000;1800;null;null;null;10;6.2;null;null;24.3;23.4;null;93;18;1;50
13/01/2000;0;null;null;null;10;0;null;null;23.3;22.8;null;96;23;1;20
13/01/2000;1200;null;null;null;10;0;null;null;22.4;21.8;null;95;18;1;20
13/01/2000;1800;null;null;null;7;0;null;null;30.4;27.8;null;82;5;1;60
14/01/2000;0;null;null;null;6;0;null;null;25.9;25;null;93;5;1;20
14/01/2000;1200;null;null;null;9;6.2;null;null;23.1;22.4;null;94;9;1;50
14/01/2000;1800;null;null;null;9;0;null;null;27.3;26;null;90;9;1;60
15/01/2000;0;null;null;null;8;3.4;null;null;23.9;22.6;null;90;18;1;20
15/01/2000;1200;null;null;null;10;0;null;null;24.3;23.6;null;94;5;1;50
15/01/2000;1800;null;null;null;10;0;null;null;27.6;26.3;null;90;9;1;50
16/01/2000;0;null;null;null;10;0;null;null;25.3;24.6;null;94;5;1;10
16/01/2000;1200;null;null;null;10;14.6;null;null;23.7;23;null;94;36;1;50
16/01/2000;1800;null;null;null;10;0;null;null;26.9;25.5;null;89;36;1;60
17/01/2000;0;null;null;null;9;0;null;null;24.4;23.5;null;93;14;1;20
17/01/2000;1200;null;null;null;8;0;null;null;23.1;22;null;91;18;1;60
17/01/2000;1800;null;null;null;7;0;null;null;30.9;29;null;87;36;1;60
18/01/2000;0;null;null;null;6;0;null;null;27.1;26;null;92;14;1;50
18/01/2000;1200;null;null;null;7;0;null;null;24.7;23.7;null;92;14;1;60
18/01/2000;1800;null;null;null;8;0;null;null;29.6;28;null;89;9;1;60
19/01/2000;0;null;null;null;10;29.2;null;null;22.4;21.9;null;96;14;1;10
19/01/2000;1200;null;null;null;10;3;null;null;22.4;21.8;null;95;5;1;50
19/01/2000;1800;null;null;null;8;0;null;null;28.4;26.5;null;86;23;1;60
20/01/2000;0;null;null;null;10;1;null;null;23.9;23.5;null;97;9;1;20
20/01/2000;1200;null;null;null;10;39;null;null;22.3;21.8;null;96;14;1;20
20/01/2000;1800;null;null;null;9;0;null;null;29.7;27.2;null;82;36;1;50
21/01/2000;0;null;null;null;8;0;null;null;26.3;25;null;90;23;1;10
21/01/2000;1200;null;null;null;8;0;null;null;24;23.4;null;95;18;1;60
21/01/2000;1800;null;null;null;8;0;null;null;30.7;29.4;null;91;5;1;60
22/01/2000;0;null;null;null;5;0.8;null;null;25.6;25;null;95;0;0;20
22/01/2000;1200;null;null;null;6;3;null;null;25.9;24.5;null;89;5;1;70
22/01/2000;1800;null;null;null;10;0;null;null;27.9;27.5;null;97;36;1;50
23/01/2000;0;null;null;null;8;10.6;null;null;23.9;23.5;null;97;14;1;20
23/01/2000;1200;null;null;null;0;0;null;null;22.1;21.6;null;96;0;0;20
23/01/2000;1800;null;null;null;8;0;null;null;30.1;28.2;null;87;36;1;60
24/01/2000;0;null;null;null;7;0;null;null;27.5;26;null;89;14;1;50
24/01/2000;1200;null;null;null;9;0;null;null;25.5;24.3;null;91;18;1;50
24/01/2000;1800;null;null;null;5;0;null;null;31.9;29.5;null;84;36;1;60
25/01/2000;0;null;null;null;10;17.6;null;null;24;23.5;null;96;18;1;5
25/01/2000;1200;null;null;null;10;1;null;null;23.4;23;null;97;14;1;50
25/01/2000;1800;null;null;null;7;0;null;null;30.9;29.5;null;90;5;1;60
26/01/2000;0;null;null;null;6;0;null;null;24.2;23.6;null;95;5;1;20
26/01/2000;1200;null;null;null;10;0;null;null;24.3;23.2;null;91;23;1;50
26/01/2000;1800;null;null;null;8;0;null;null;30.9;28.6;null;84;9;1;60
27/01/2000;0;null;null;null;9;6;null;null;27.3;26;null;90;36;1;20
27/01/2000;1200;null;null;null;10;0.8;null;null;24.7;24;null;94;9;1;50
27/01/2000;1800;null;null;null;7;0;null;null;29.7;28.2;null;89;14;1;60
28/01/2000;0;null;null;null;10;2.8;null;null;24.6;24;null;95;14;1;5
28/01/2000;1200;null;null;null;10;3;null;null;22.6;22;null;95;18;1;20
