Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
01/01/2000;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null
01/01/2000;1200;null;null;null;10;0;1006.1;null;25.8;24.2;null;87;0;0;50
01/01/2000;1800;null;null;null;6;0;1004.9;null;32.2;27.4;null;68;0;0;60
02/01/2000;0;null;null;null;10;9.8;1005;null;24.8;24.2;null;95;0;0;10
02/01/2000;1200;null;null;null;10;26.6;1008.2;null;23.6;23.4;null;98;0;0;20
02/01/2000;1800;null;null;null;10;3;1006.4;null;26.8;25.6;null;90;0;0;20
03/01/2000;0;null;null;null;10;1;1006.1;null;25.4;24.6;null;93;27;1.6;5
03/01/2000;1200;null;null;null;10;1.8;1007.8;null;24.2;23.6;null;95;36;0.8;20
03/01/2000;1800;null;null;null;8;0;1004.4;null;30;26.4;null;74;0;0;50
04/01/2000;0;null;null;null;10;0;1005;null;27.8;25.8;null;85;0;0;20
04/01/2000;1200;null;null;null;10;0;1006.1;null;26;25.2;null;93;9;1.6;50
04/01/2000;1800;null;null;null;6;0;1005.2;null;32;27;null;66;5;1.3;60
05/01/2000;0;null;null;null;10;0;1004.1;null;26.8;25;null;86;27;0.8;20
05/01/2000;1200;null;null;null;10;2.2;1007.7;null;23.4;23;null;96;18;2.5;50
05/01/2000;1800;null;null;null;10;0;1006.7;null;26.6;24.6;null;84;0;0;50
06/01/2000;0;null;null;null;0;0;1004.7;null;26.6;25.2;null;89;14;0.1;20
06/01/2000;1200;null;null;null;10;0;1008.4;null;23.8;22.6;null;90;0;0;50
06/01/2000;1800;null;null;null;10;0;1007.7;null;30.6;26.6;null;72;14;2.5;50
07/01/2000;0;null;null;null;10;23;1006.5;null;23.8;23;null;93;null;1.3;20
07/01/2000;1200;null;null;null;10;0;1008.6;null;24.8;24.2;null;95;0;0;50
07/01/2000;1800;null;null;null;4;0;1006.6;null;31;25.6;null;63;18;1.6;60
08/01/2000;0;null;null;null;0;0;1004.2;null;28.8;26.2;null;81;0;0;50
08/01/2000;1200;null;null;null;10;1.9;1008.7;null;25;24.2;null;93;0;0;50
08/01/2000;1800;null;null;null;10;0;1007.3;null;30.2;26.8;null;76;36;2.5;50
09/01/2000;0;null;null;null;0;0;1004.6;null;28;25.4;null;80;32;0.8;20
09/01/2000;1200;null;null;null;10;0;1008.5;null;25;24.2;null;93;0;0;60
09/01/2000;1800;null;null;null;10;0;1005.7;null;30.2;26;null;70;36;1.6;50
10/01/2000;0;null;null;null;0;0;1005.7;null;27.6;26;null;88;18;1.6;20
10/01/2000;1200;null;null;null;8;0;1007.7;null;26.6;24.6;null;84;9;0.8;60
10/01/2000;1800;null;null;null;8;0;1005.1;null;33.8;26.8;null;56;9;1.6;50
11/01/2000;0;null;null;null;0;0;1005.8;null;27.8;25.4;null;82;9;0.8;20
11/01/2000;1200;null;null;null;10;1.6;1008.7;null;25.4;24.8;null;95;0;0;50
11/01/2000;1800;null;null;null;8;0;1004.7;null;31;26.2;null;67;27;4.1;50
