Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
01/01/2000;0;null;null;null;10;0;1007.9;null;26.6;25;null;87;27;1;20
01/01/2000;1200;null;null;null;10;0;1009.4;null;25;24;null;92;0;0;60
01/01/2000;1800;null;null;null;10;0;1007.9;null;29.6;27;null;81;14;2;60
02/01/2000;0;null;null;null;10;2;1008;null;25.8;25;null;93;18;2;5
02/01/2000;1200;null;null;null;10;6.4;1010.1;null;25;22.6;null;80;18;2;20
02/01/2000;1800;null;null;null;10;1;1009.6;null;26;23;null;76;14;2;60
03/01/2000;0;null;null;null;10;0;1008.5;null;27.4;24.2;null;76;0;0;60
03/01/2000;1200;null;null;null;10;5.2;1010.3;null;24;22;null;83;32;2;60
03/01/2000;1800;null;null;null;10;1;1008.6;null;27.4;24.4;null;77;36;2;60
04/01/2000;0;null;null;null;0;0;1008;null;27.4;24;null;74;14;2;60
04/01/2000;1200;null;null;null;10;0.3;1008.9;null;25;22;null;76;23;2;60
04/01/2000;1800;null;null;null;7;1.5;1007.8;null;30;26.6;null;76;5;3;60
05/01/2000;0;null;null;null;10;0;1006.4;null;29;26;null;78;0;0;60
05/01/2000;1200;null;null;null;10;12.6;1009.8;null;23.8;21;null;77;18;3;5
05/01/2000;1800;null;null;null;10;4.4;1010;null;27.6;24;null;73;23;3;60
06/01/2000;0;null;null;null;10;0;1007.4;null;26.6;23;null;72;18;2;60
06/01/2000;1200;null;null;null;10;0;1010.2;null;24.6;22.6;null;83;23;2;60
06/01/2000;1800;null;null;null;10;0;1009.7;null;28.8;26;null;79;23;2;60
07/01/2000;0;null;null;null;10;0;1009.9;null;25;22;null;76;23;5;60
07/01/2000;1200;null;null;null;10;0;1011.6;null;24;22.8;null;90;23;2;60
07/01/2000;1800;null;null;null;6;0;1009.5;null;29.8;26.8;null;78;23;3;60
08/01/2000;0;null;null;null;0;0;1007.7;null;28.8;25.4;null;75;0;0;60
08/01/2000;1200;null;null;null;10;0;1010.1;null;24.2;21;null;74;27;3;60
08/01/2000;1800;null;null;null;8;0;1009.2;null;32;29.6;null;83;27;3;60
09/01/2000;0;null;null;null;10;0;1006.9;null;28.2;25;null;76;0;0;60
09/01/2000;1200;null;null;null;10;0;1010.8;null;25;24;null;92;0;0;60
09/01/2000;1800;null;null;null;10;0;1008.7;null;31;27.6;null;76;14;2;60
10/01/2000;0;null;null;null;10;0;1008.5;null;27.6;26;null;87;36;3;20
10/01/2000;1200;null;null;null;5;2.6;1010.2;null;25;24;null;92;18;2;60
10/01/2000;1800;null;null;null;5;0;1009.4;null;31.2;27;null;71;18;2;60
11/01/2000;0;null;null;null;0;8.7;1008.1;null;27.8;25.2;null;80;0;0;60
11/01/2000;1200;null;null;null;7;0;1010.7;null;25;22.6;null;80;23;2;60
11/01/2000;1800;null;null;null;10;5.8;1009.5;null;27.8;24.6;null;76;14;2;60
12/01/2000;0;null;null;null;0;0;1007.2;null;26.4;23;null;74;0;0;60
12/01/2000;1200;null;null;null;10;0;1010.8;null;25.8;24;null;85;18;2;60
12/01/2000;1800;null;null;null;10;12.2;1010.1;null;25;23;null;84;18;2;5
13/01/2000;0;null;null;null;10;94.4;1009.1;null;23;21.6;null;88;36;2;20
13/01/2000;1200;null;null;null;10;0.3;1010.1;null;24;21;null;75;23;2;60
13/01/2000;1800;null;null;null;7;0;1010.3;null;30.2;27.8;null;82;18;3;60
14/01/2000;0;null;null;null;10;0;1008.4;null;27;24;null;77;14;2;60
14/01/2000;1200;null;null;null;10;0;1010.8;null;25;22;null;76;14;2;60
