Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
01/01/2000;0;null;null;null;10;0;null;null;27;25;null;84;0;0;20
01/01/2000;1200;null;null;null;2;0;null;null;24;23.2;null;93;0;0;50
01/01/2000;1800;null;null;null;4;0;null;null;30;27;null;78;0;0;60
02/01/2000;0;null;null;null;10;0;null;null;26.6;25.4;null;90;0;0;20
02/01/2000;1200;null;null;null;10;22.6;null;null;25;23.4;null;87;0;0;20
02/01/2000;1800;null;null;null;4;0;null;null;33;28.8;null;72;0;0;60
03/01/2000;0;null;null;null;0;0;null;null;25.4;25;null;97;0;0;60
03/01/2000;1200;null;null;null;10;0;null;null;23.8;23.6;null;98;0;0;20
03/01/2000;1800;null;null;null;4;0;null;null;32.8;27.8;null;67;0;0;70
04/01/2000;0;null;null;null;4;0;null;null;26.4;25.6;null;93;0;0;70
04/01/2000;1200;null;null;null;2;0;null;null;25;24.6;null;97;0;0;50
04/01/2000;1800;null;null;null;4;0;null;null;33.2;28.6;null;70;0;0;60
05/01/2000;0;null;null;null;4;0;null;null;28.4;27.4;null;92;0;0;70
05/01/2000;1200;null;null;null;2;0;null;null;26;25.4;null;95;0;0;50
05/01/2000;1800;null;null;null;4;0;null;null;34.6;28.2;null;60;0;0;60
06/01/2000;0;null;null;null;0;0;null;null;27.8;25.6;null;83;0;0;60
06/01/2000;1200;null;null;null;10;0;null;null;23;22.8;null;98;0;0;20
