Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
01/01/2000;0;null;null;null;9;5.4;1005.1;null;27.2;26.8;null;97;0;0;10
01/01/2000;1200;null;null;null;10;0;1002.6;null;23.6;23.4;null;98;0;0;10
01/01/2000;1800;null;null;null;7;0;1002.1;null;29;26;null;78;9;1;50
02/01/2000;0;null;null;null;8;0;1001.6;null;26.8;25.2;null;87;0;0;20
02/01/2000;1200;null;null;null;8;0;1002.1;null;24.2;23.6;null;95;0;0;20
02/01/2000;1800;null;null;null;7;0;999.2;null;29;26.4;null;81;0;0;50
03/01/2000;0;null;null;null;8;0;999.8;null;30;28.8;null;91;36;1;10
03/01/2000;1200;null;null;null;8;0;1000.7;null;22.6;22;null;95;0;0;20
03/01/2000;1800;null;null;null;7;0;1001.3;null;31.8;28.8;null;79;0;0;50
04/01/2000;0;null;null;null;8;0;997.3;null;31;29;null;86;0;0;10
04/01/2000;1200;null;null;null;5;0;999.3;null;23.2;22.8;null;96;0;0;60
04/01/2000;1800;null;null;null;7;0;1000.4;null;33.6;26.6;null;56;36;2;50
05/01/2000;0;null;null;null;7;0;997.7;null;31.4;27.4;null;72;0;0;20
05/01/2000;1200;null;null;null;7;0;999.3;null;22.6;21.8;null;93;0;0;20
05/01/2000;1800;null;null;null;7;0;1000.2;null;33;26.8;null;60;36;1;50
06/01/2000;0;null;null;null;8;0;1000.1;null;30;26;null;72;0;0;20
06/01/2000;1200;null;null;null;8;0;1000.7;null;22.6;22;null;95;0;0;10
06/01/2000;1800;null;null;null;7;0;1001.1;null;33;28;null;67;36;1;50
07/01/2000;0;null;null;null;8;0;999.2;null;31.6;29;null;82;0;0;20
07/01/2000;1200;null;null;null;6;0;1001.6;null;23.6;23;null;95;0;0;60
07/01/2000;1800;null;null;null;8;0;1001.7;null;31.6;26.4;null;65;18;1;50
08/01/2000;0;null;null;null;8;0;998.1;null;28.4;26.4;null;85;27;1;20
08/01/2000;1200;null;null;null;9;22.2;1002;null;23;22.6;null;96;0;0;10
08/01/2000;1800;null;null;null;8;0;999.7;null;31.6;27;null;69;0;0;20
09/01/2000;0;null;null;null;10;1;998.6;null;25;24.2;null;93;0;0;10
09/01/2000;1200;null;null;null;8;0;1000.7;null;23;22.8;null;98;36;1;10
09/01/2000;1800;null;null;null;7;0;999.6;null;31.6;27;null;69;0;0;50
10/01/2000;0;null;null;null;9;0;998.7;null;28.2;27.4;null;94;0;0;10
10/01/2000;1200;null;null;null;5;0;1000;null;24;23.6;null;97;0;0;60
10/01/2000;1800;null;null;null;7;0;1000.6;null;32;26.8;null;65;9;1;50
11/01/2000;0;null;null;null;6;0;998.1;null;31.4;29.5;null;86;0;0;50
11/01/2000;1200;null;null;null;7;0;1001.4;null;24;23.8;null;98;0;0;20
11/01/2000;1800;null;null;null;8;0;1003.6;null;31;27;null;72;5;2;50
12/01/2000;0;null;null;null;8;0;998.9;null;30.6;28;null;81;0;0;10
12/01/2000;1200;null;null;null;8;0;1001.3;null;23.6;23;null;95;0;0;10
12/01/2000;1800;null;null;null;8;0;1002.3;null;28.8;25.6;null;76;5;1;20
13/01/2000;0;null;null;null;8;0;998.7;null;27;25.4;null;87;0;0;20
13/01/2000;1200;null;null;null;10;0;1002;null;23.8;23.2;null;95;0;0;10
13/01/2000;1800;null;null;null;9;16.2;1002.3;null;28.2;27.2;null;92;9;2;20
14/01/2000;0;null;null;null;8;0.5;1000.2;null;26;25.4;null;95;0;0;10
14/01/2000;1200;null;null;null;9;4.6;1001.8;null;23.6;22.4;null;90;0;0;10
14/01/2000;1800;null;null;null;8;0;1002.5;null;28.6;24.8;null;72;36;2;20
15/01/2000;0;null;null;null;9;0;1000;null;27;24.2;null;78;18;1;20
15/01/2000;1200;null;null;null;9;0;1001.5;null;23;22.6;null;96;0;0;50
15/01/2000;1800;null;null;null;8;0;1001.2;null;30;26.6;null;76;36;2;20
16/01/2000;0;null;null;null;9;0;1003.4;null;26.4;24.8;null;87;0;0;50
16/01/2000;1200;null;null;null;8;16.4;1003.9;null;23.2;22.8;null;96;9;1;50
16/01/2000;1800;null;null;null;8;0;1004.3;null;29;26.1;null;79;5;2;50
17/01/2000;0;null;null;null;9;0;1003.3;null;25.4;24.5;null;93;0;0;50
17/01/2000;1200;null;null;null;10;0;1003.2;null;24;23.6;null;97;0;0;20
17/01/2000;1800;null;null;null;9;0;1004.4;null;29.9;26.6;null;76;18;2;50
18/01/2000;0;null;null;null;8;0;1002.6;null;28;25.8;null;83;9;1;50
18/01/2000;1200;null;null;null;10;0;1004.6;null;23.3;22.8;null;96;9;1;20
18/01/2000;1800;null;null;null;8;2;1005.9;null;29.1;26.3;null;79;27;1;50
19/01/2000;0;null;null;null;9;9.6;1004.2;null;23.8;23.4;null;97;5;1;20
19/01/2000;1200;null;null;null;10;0.2;1006;null;22.4;22.3;null;99;36;1;20
19/01/2000;1800;null;null;null;9;0;1007;null;27.5;25.8;null;87;18;2;50
20/01/2000;0;null;null;null;9;0.8;1002.3;null;25.2;24.2;null;92;9;1;50
20/01/2000;1200;null;null;null;9;4.2;1006.4;null;22.4;22.2;null;98;36;1;20
20/01/2000;1800;null;null;null;8;0;1007.2;null;28.3;25.4;null;78;27;2;50
21/01/2000;0;null;null;null;9;0;1005.2;null;25.4;24.4;null;92;0;0;20
21/01/2000;1200;null;null;null;10;0.8;1004.8;null;22.6;22.4;null;98;0;0;10
21/01/2000;1800;null;null;null;8;0;1002.4;null;31;27.6;null;76;9;1;50
22/01/2000;0;null;null;null;7;2.2;1001.5;null;27.6;26.4;null;91;0;0;50
22/01/2000;1200;null;null;null;10;1.3;1005;null;23.6;23.1;null;96;14;1;10
22/01/2000;1800;null;null;null;8;7.4;1003.2;null;27.6;26;null;88;0;0;50
23/01/2000;0;null;null;null;9;0;1002.5;null;26.2;25;null;90;0;0;20
23/01/2000;1200;null;null;null;9;1.2;1003.8;null;24.2;23.6;null;95;0;0;50
23/01/2000;1800;null;null;null;8;0;1003.8;null;32.2;27.2;null;67;0;0;60
24/01/2000;0;null;null;null;6;0;1001.6;null;29;27;null;85;0;0;50
24/01/2000;1200;null;null;null;6;0;1003.6;null;23.8;23.4;null;97;0;0;60
24/01/2000;1800;null;null;null;9;0;1002.2;null;30.8;28;null;80;18;1;50
25/01/2000;0;null;null;null;4;0;1001.5;null;28.6;27;null;88;9;1;50
25/01/2000;1200;null;null;null;9;2.2;1003.5;null;24;23.4;null;95;5;1;20
25/01/2000;1800;null;null;null;9;0;1000;null;28.8;26;null;79;9;1;50
26/01/2000;0;null;null;null;9;11.1;1000.9;null;25.6;24.8;null;93;0;0;20
26/01/2000;1200;null;null;null;8;0;1003.5;null;22.7;22.6;null;99;0;0;50
26/01/2000;1800;null;null;null;9;0;1002.5;null;32.4;27.6;null;68;9;2;20
27/01/2000;0;null;null;null;8;7.3;1001.5;null;24.1;23.6;null;96;0;0;20
27/01/2000;1200;null;null;null;8;0;1003.3;null;22;21.8;null;98;0;0;50
27/01/2000;1800;null;null;null;9;0;1002;null;27;25;null;84;9;2;20
