Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
01/01/2000;0;null;null;null;10;6;null;null;24.4;24.2;null;98;0;0;20
01/01/2000;1200;null;null;null;8;0;null;null;26.8;24.8;null;84;36;1.3;10
01/01/2000;1800;null;null;null;9;20.4;null;null;23.8;23.6;null;98;23;3.1;5
02/01/2000;0;null;null;null;4;0;null;null;22.8;22.4;null;96;9;0.8;70
02/01/2000;1200;null;null;null;9;1.2;null;null;24.4;23.8;null;95;27;2.3;5
02/01/2000;1800;null;null;null;8;2.2;null;null;27.4;25;null;81;27;2;10
03/01/2000;0;null;null;null;9;0.2;null;null;24.6;24.2;null;97;23;2.3;5
03/01/2000;1200;null;null;null;8;0.8;null;null;25.6;24.6;null;92;23;0.5;10
03/01/2000;1800;null;null;null;7;0;null;null;27;25.4;null;87;5;1.3;20
04/01/2000;0;null;null;null;7;0;null;null;25.4;24.4;null;92;5;0.8;20
04/01/2000;1200;null;null;null;7;0;null;null;26.4;24.8;null;87;5;1.6;20
04/01/2000;1800;null;null;null;7;0;null;null;31.6;27.2;null;70;5;1.1;20
05/01/2000;0;null;null;null;5;0;null;null;24.8;23.8;null;92;5;0.7;60
05/01/2000;1200;null;null;null;8;0;null;null;23.6;22.2;null;88;23;2.3;10
05/01/2000;1800;null;null;null;8;0;null;null;28;24.8;null;76;5;2;10
06/01/2000;0;null;null;null;5;0;null;null;25.2;24.2;null;92;36;0.3;60
06/01/2000;1200;null;null;null;8;0;null;null;25.2;24.6;null;95;36;1.3;10
06/01/2000;1800;null;null;null;7;0;null;null;30;26.6;null;76;14;0.5;20
07/01/2000;0;null;null;null;4;0;null;null;25.4;24.6;null;93;14;0.7;70
07/01/2000;1200;null;null;null;8;0;null;null;25.4;24.4;null;92;23;0.5;10
07/01/2000;1800;null;null;null;4;0;null;null;31;26.2;null;67;23;2.3;70
08/01/2000;0;null;null;null;3;0;null;null;26.2;25.2;null;92;0;0;84
08/01/2000;1200;null;null;null;5;0;null;null;25.8;24.2;null;87;27;1.6;60
