Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
01/01/2000;0;null;null;null;9;0;null;null;26.6;24.8;null;86;23;1;60
01/01/2000;1200;null;null;null;9;0;null;null;25.4;25;null;97;0;0;50
01/01/2000;1800;null;null;null;9;0;null;null;28.4;25.6;null;79;27;1;60
02/01/2000;0;null;null;null;10;0;null;null;25.2;24.2;null;92;27;2;20
02/01/2000;1200;null;null;null;4;0;null;null;24.8;23.6;null;90;23;2;84
02/01/2000;1800;null;null;null;9;0;null;null;30.6;26.6;null;72;27;1;70
03/01/2000;0;null;null;null;4;0;null;null;25.2;24.2;null;92;0;0;70
03/01/2000;1200;null;null;null;8;0;null;null;24.6;23.8;null;93;27;1;60
03/01/2000;1800;null;null;null;8;0;null;null;31;27;null;72;23;2;70
04/01/2000;0;null;null;null;9;0;null;null;27.4;24.8;null;80;27;1;60
04/01/2000;1200;null;null;null;8;0;null;null;25.4;24;null;88;36;1;60
04/01/2000;1800;null;null;null;8;0;null;null;32.8;26;null;56;23;2;84
05/01/2000;0;null;null;null;6;10.8;null;null;26.2;24.4;null;86;32;1;60
05/01/2000;1200;null;null;null;10;0;null;null;23.8;23.2;null;95;36;1;60
05/01/2000;1800;null;null;null;9;0.5;null;null;24.6;23.4;null;90;9;3;60
06/01/2000;0;null;null;null;8;0;null;null;25;24;null;92;27;1;60
06/01/2000;1200;null;null;null;9;0;null;null;24.4;22.8;null;87;23;3;60
06/01/2000;1800;null;null;null;10;0;null;null;25.4;23.4;null;84;23;1;60
