Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
01/01/2000;0;null;null;null;4;0;1002.9;null;26;25;null;92;0;0;5
01/01/2000;1200;null;null;null;10;5;1004.8;null;24.4;23.2;null;90;32;3;10
01/01/2000;1800;null;null;null;8;2;1003.4;null;27;24.4;null;81;9;1;50
02/01/2000;0;null;null;null;5;0;1004.1;null;26;24;null;85;0;0;5
02/01/2000;1200;null;null;null;10;6.6;1004.9;null;23.8;23.2;null;95;0;0;10
02/01/2000;1800;null;null;null;10;0.6;1003.2;null;28.2;25.2;null;79;9;1;20
03/01/2000;0;null;null;null;8;0.2;1003.6;null;25.6;24.2;null;89;0;0;5
03/01/2000;1200;null;null;null;10;0.6;1004.2;null;24.4;23.8;null;95;0;0;50
03/01/2000;1800;null;null;null;8;1;1003.4;null;27.6;23.6;null;72;0;0;50
04/01/2000;0;null;null;null;0;0;1002.8;null;26;23.6;null;82;0;0;70
04/01/2000;1200;null;null;null;10;0;1004.5;null;24;23.2;null;93;0;0;50
04/01/2000;1800;null;null;null;10;0;1003.2;null;30.4;25.6;null;68;0;0;50
05/01/2000;0;null;null;null;5;0;1002.6;null;26.2;24.2;null;85;0;0;50
05/01/2000;1200;null;null;null;10;15;1005.5;null;22.4;21.8;null;95;0;0;5
05/01/2000;1800;null;null;null;10;1;1003.5;null;26.6;24;null;81;0;0;20
06/01/2000;0;null;null;null;5;0;1003.4;null;26;23.6;null;82;5;1;5
06/01/2000;1200;null;null;null;10;0;1005.2;null;24.8;23.4;null;89;0;0;50
06/01/2000;1800;null;null;null;6;0;1004.4;null;30.4;25.8;null;69;9;1;50
07/01/2000;0;null;null;null;6;0;1003.5;null;26.8;24.8;null;85;0;0;50
07/01/2000;1200;null;null;null;10;3;1006.9;null;25.2;24.6;null;95;0;0;50
07/01/2000;1800;null;null;null;8;0;1003.2;null;29.6;24.8;null;68;18;1;60
08/01/2000;0;null;null;null;0;0;1002.9;null;27.4;24.2;null;77;0;0;50
08/01/2000;1200;null;null;null;4;0;1006.2;null;24.6;23;null;87;0;0;20
08/01/2000;1800;null;null;null;6;0;1003.2;null;31.6;25.2;null;60;36;2;60
09/01/2000;0;null;null;null;0;0;1002.4;null;27.6;24;null;74;0;0;60
09/01/2000;1200;null;null;null;6;0;1005.8;null;26.4;24.8;null;88;9;1;60
09/01/2000;1800;null;null;null;10;8;1003.8;null;24.6;23.2;null;89;0;0;50
10/01/2000;0;null;null;null;6;0;1005.8;null;24.6;23.6;null;92;0;0;50
10/01/2000;1200;null;null;null;8;0;1005;null;24.8;24.2;null;95;9;2;60
10/01/2000;1800;null;null;null;8;0;1003.8;null;31.4;26.2;null;66;9;2;70
11/01/2000;0;null;null;null;3;0;1003;null;27;25;null;85;0;0;50
11/01/2000;1200;null;null;null;4;0;1005.9;null;26.8;24.8;null;85;5;1;60
11/01/2000;1800;null;null;null;6;0;1002.8;null;31.2;26.2;null;67;9;2;70
12/01/2000;0;null;null;null;6;0;1003.2;null;26.2;24.2;null;85;0;0;5
12/01/2000;1200;null;null;null;10;0;1005.7;null;24.6;23.2;null;89;0;0;50
12/01/2000;1800;null;null;null;8;2.4;1003.3;null;29.6;25.2;null;70;36;2;50
13/01/2000;0;null;null;null;10;77.6;1005;null;23.6;23.2;null;97;0;0;50
13/01/2000;1200;null;null;null;8;3;1006;null;23.6;23;null;95;0;0;20
13/01/2000;1800;null;null;null;6;0;1003.6;null;31.2;25.8;null;65;9;2;70
14/01/2000;0;null;null;null;8;4.2;1005;null;26;24.4;null;88;0;0;50
14/01/2000;1200;null;null;null;10;16;1006.3;null;24.2;23.2;null;92;9;1;50
14/01/2000;1800;null;null;null;8;0;1004;null;30.2;25;null;66;9;3;60
15/01/2000;0;null;null;null;8;0;1003.7;null;26.4;24;null;82;5;1;20
15/01/2000;1200;null;null;null;10;0;1006.2;null;24.4;23.2;null;90;0;0;50
15/01/2000;1800;null;null;null;6;1;1003;null;29.8;24.6;null;65;9;2;60
16/01/2000;0;null;null;null;8;1.2;1003.5;null;26.2;24.4;null;86;0;0;50
16/01/2000;1200;null;null;null;10;20;1006.8;null;23.6;23.4;null;98;0;0;20
16/01/2000;1800;null;null;null;9;0.4;1003.7;null;29;25.2;null;74;0;0;50
17/01/2000;0;null;null;null;0;0;1004.2;null;26.6;24.4;null;84;0;0;50
17/01/2000;1200;null;null;null;10;0;1007.4;null;25;23.8;null;91;0;0;20
17/01/2000;1800;null;null;null;8;0;1004.9;null;28.8;24.6;null;71;27;3;60
18/01/2000;0;null;null;null;10;1.4;1006.2;null;23.8;22.8;null;92;5;1;10
18/01/2000;1200;null;null;null;10;15.8;1009.3;null;23.2;22.2;null;92;5;2;20
18/01/2000;1800;null;null;null;6;0;1007.2;null;29.4;25.4;null;73;9;1;50
19/01/2000;0;null;null;null;6;0;1006.5;null;25.6;23.4;null;83;0;0;20
19/01/2000;1200;null;null;null;6;0;1009.1;null;25;23.8;null;91;0;0;70
19/01/2000;1800;null;null;null;10;0.4;1006;null;30.8;25.8;null;67;0;0;50
