Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
01/01/2000;0;null;null;null;8;0.4;1006.5;null;25.8;25;null;93;0;0;20
01/01/2000;1200;null;null;null;10;0;1011;null;24.8;24.2;null;95;9;1;60
01/01/2000;1800;null;null;null;10;1.8;1005.1;null;25.4;24.4;null;92;14;1;50
02/01/2000;0;null;null;null;6;0;1006.7;null;25;24.2;null;93;5;1;20
02/01/2000;1200;null;null;null;10;6.2;1007.3;null;24.6;23.4;null;90;36;1;50
02/01/2000;1800;null;null;null;10;0.6;1005.6;null;25.6;24.6;null;92;32;1;60
03/01/2000;0;null;null;null;8;0;1005.8;null;26.4;25.4;null;92;0;0;20
03/01/2000;1200;null;null;null;10;0.8;1007.4;null;24.6;23.8;null;93;18;1;60
03/01/2000;1800;null;null;null;6;0;1005.7;null;29.6;28;null;88;18;1;60
04/01/2000;0;null;null;null;6;0;1007.7;null;29;28;null;92;36;1;50
04/01/2000;1200;null;null;null;6;0.2;1006.9;null;25.4;24.2;null;90;14;1;60
04/01/2000;1800;null;null;null;6;0;1005.3;null;33.4;29.4;null;73;36;1;60
05/01/2000;0;null;null;null;10;0.2;1005.3;null;25;24;null;92;9;1;20
05/01/2000;1200;null;null;null;10;34.6;1008.3;null;23.2;21.6;null;86;14;1;50
05/01/2000;1800;null;null;null;10;4.8;1007.3;null;25.6;24.6;null;92;23;1;60
06/01/2000;0;null;null;null;8;0;1007.4;null;25;24.4;null;95;0;0;50
06/01/2000;1200;null;null;null;8;0;1007.4;null;23.6;22.6;null;91;14;1;60
06/01/2000;1800;null;null;null;10;0;1006.8;null;29.2;26.6;null;81;23;1;60
07/01/2000;0;null;null;null;4;0;1006.9;null;26;25;null;92;0;0;20
07/01/2000;1200;null;null;null;10;0.8;1007.8;null;24.6;23.6;null;92;14;1;60
07/01/2000;1800;null;null;null;6;0;1005.4;null;31.4;28.4;null;79;23;1;60
08/01/2000;0;null;null;null;4;0;1005.3;null;28.6;27.6;null;92;0;0;60
08/01/2000;1200;null;null;null;8;27.6;1007.3;null;23.6;22.4;null;90;36;1;60
08/01/2000;1800;null;null;null;6;0;1005.4;null;31.6;27.4;null;71;32;1;60
09/01/2000;0;null;null;null;10;4.2;1005.9;null;25;24.2;null;93;0;0;20
09/01/2000;1200;null;null;null;10;0;1007.8;null;24;23;null;91;14;1;50
09/01/2000;1800;null;null;null;8;12;1005.9;null;26.4;24;null;81;18;1;60
10/01/2000;0;null;null;null;4;0;1006.6;null;26.4;25.2;null;90;0;0;20
10/01/2000;1200;null;null;null;10;0;1006.9;null;24.4;23.6;null;93;14;1;60
10/01/2000;1800;null;null;null;6;0;1005.4;null;30.2;28.4;null;87;18;1;60
11/01/2000;0;null;null;null;4;0;1006.6;null;26;25;null;92;0;0;20
11/01/2000;1200;null;null;null;8;0;1007.9;null;24.4;23.6;null;93;18;1;60
11/01/2000;1800;null;null;null;6;0;1005.5;null;32.6;28.6;null;73;36;1;60
12/01/2000;0;null;null;null;6;0;1006.2;null;26;25;null;92;0;0;20
12/01/2000;1200;null;null;null;10;0;1007.6;null;24.6;24;null;95;0;0;60
12/01/2000;1800;null;null;null;8;0;1005.2;null;26.4;24.6;null;86;23;1;60
13/01/2000;0;null;null;null;10;0;1006.5;null;25.4;24.4;null;92;0;0;20
13/01/2000;1200;null;null;null;10;0;1007.7;null;24;23;null;91;18;1;60
13/01/2000;1800;null;null;null;8;0;1006.6;null;29.2;27;null;84;14;1;60
14/01/2000;0;null;null;null;10;0;1007;null;26.6;25.6;null;92;0;0;20
14/01/2000;1200;null;null;null;10;0;1007.7;null;23.6;23;null;95;9;1;60
14/01/2000;1800;null;null;null;8;0;1006.5;null;30.6;27;null;75;9;1;60
15/01/2000;0;null;null;null;3;0;1006.8;null;26.6;25.6;null;92;0;0;60
15/01/2000;1200;null;null;null;10;0;1007.6;null;25.2;24.2;null;92;14;1;60
15/01/2000;1800;null;null;null;10;0;1005.6;null;29.8;26.6;null;77;14;1;60
16/01/2000;0;null;null;null;10;19;1006.9;null;23;22.4;null;95;0;0;20
16/01/2000;1200;null;null;null;10;23;1008.6;null;23.6;22.6;null;91;14;1;60
16/01/2000;1800;null;null;null;8;0.2;1005.8;null;29.4;26.6;null;79;36;1;60
17/01/2000;0;null;null;null;10;1.2;1006.8;null;25;24;null;92;23;1;20
