Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
01/01/2000;0;null;null;null;10;0.2;1007.9;null;25;24.2;null;94;14;2.6;50
01/01/2000;1200;null;null;null;6;4.1;1009.8;null;27;25.5;null;89;0;0;50
01/01/2000;1800;null;null;null;10;3;1007.5;null;26;24.8;null;91;5;3.3;50
02/01/2000;0;null;null;null;10;8.6;1007.6;null;24.2;23.8;null;97;36;1.6;50
02/01/2000;1200;null;null;null;9;0;1009.3;null;26.7;24.5;null;84;18;1.1;50
02/01/2000;1800;null;null;null;8;1.4;1007.3;null;27.7;25.6;null;85;32;1.3;50
03/01/2000;0;null;null;null;10;3.7;1008.6;null;24.2;23.7;null;96;0;0;50
03/01/2000;1200;null;null;null;8;2.3;1009.5;null;25.6;24.4;null;91;0;0;50
03/01/2000;1800;null;null;null;9;14;1007.7;null;26.6;24.7;null;86;18;1.3;50
04/01/2000;0;null;null;null;10;0;1008.8;null;25.6;24.6;null;92;0;0;50
04/01/2000;1200;null;null;null;2;1;1009.4;null;24.9;23.3;null;87;5;1.1;50
04/01/2000;1800;null;null;null;5;0;1007.7;null;32.2;26.5;null;64;0;0;50
05/01/2000;0;null;null;null;0;0.2;1007.7;null;26;25;null;92;0;0;50
05/01/2000;1200;null;null;null;10;17.2;1010.2;null;22.6;22.4;null;98;14;0.8;10
05/01/2000;1800;null;null;null;10;4.3;1008.8;null;25.3;23.8;null;88;36;2.5;20
06/01/2000;0;null;null;null;8;0.2;1008.6;null;24.6;24.3;null;98;0;0;20
06/01/2000;1200;null;null;null;7;0;1010.5;null;25;23.2;null;86;0;0;50
06/01/2000;1800;null;null;null;2;0;1007.9;null;30.7;26.6;null;73;27;2;50
07/01/2000;0;null;null;null;0;0;1008;null;28.5;26;null;82;27;1;50
07/01/2000;1200;null;null;null;7;0;1010.5;null;26.8;25.3;null;89;14;1.1;50
07/01/2000;1800;null;null;null;10;0;1007.2;null;30.3;26.8;null;76;27;1.6;50
08/01/2000;0;null;null;null;10;4.2;1009;null;25.1;24.2;null;93;36;1;50
08/01/2000;1200;null;null;null;6;0;1010.2;null;25.5;24.6;null;93;0;0;50
08/01/2000;1800;null;null;null;4;0;1007.8;null;31.7;26.5;null;67;36;1.1;50
09/01/2000;0;null;null;null;0;0;1007.4;null;27.8;25.7;null;85;0;0;50
09/01/2000;1200;null;null;null;5;0;1010.8;null;25.4;24.5;null;93;0;0;50
09/01/2000;1800;null;null;null;10;1.4;1008.2;null;27.5;25;null;82;0;0;10
10/01/2000;0;null;null;null;10;55;1009.8;null;23.6;23.4;null;98;0;0;50
10/01/2000;1200;null;null;null;2;0.5;1010.2;null;25.9;23.6;null;83;9;1.5;50
10/01/2000;1800;null;null;null;4;0;1008.5;null;32;26.8;null;67;36;1.3;50
11/01/2000;0;null;null;null;0;0;1008.1;null;27;25.6;null;89;0;0;50
11/01/2000;1200;null;null;null;10;0;1010.6;null;26.3;24.9;null;89;0;0;50
11/01/2000;1800;null;null;null;4;0;1006.2;null;32.2;27;null;67;27;1;50
12/01/2000;0;null;null;null;4;0;1007.9;null;28.6;25.7;null;79;0;0;50
12/01/2000;1200;null;null;null;9;68.8;1009.5;null;25.6;24.8;null;94;0;0;50
12/01/2000;1800;null;null;null;10;22;1009.3;null;24.4;22.6;null;86;5;1.6;10
13/01/2000;0;null;null;null;10;4.5;1009.3;null;24;23.7;null;98;0;0;20
13/01/2000;1200;null;null;null;8;0;1010.9;null;25.2;24;null;91;0;0;50
13/01/2000;1800;null;null;null;10;0;1008.5;null;29.1;25;null;72;0;0;50
14/01/2000;0;null;null;null;8;0;1010;null;25.4;24.5;null;93;0;0;50
14/01/2000;1200;null;null;null;9;0;1010.7;null;25.5;23.7;null;86;9;1.3;50
14/01/2000;1800;null;null;null;4;0;1007.9;null;29.9;26.6;null;77;0;0;50
15/01/2000;0;null;null;null;10;0;1009.2;null;27.2;25.1;null;84;36;1.6;50
15/01/2000;1200;null;null;null;10;2.2;1011.3;null;26;25.2;null;94;0;0;50
15/01/2000;1800;null;null;null;8;0;1008.1;null;28.6;26.6;null;86;36;1.6;50
16/01/2000;0;null;null;null;1;0;1007.6;null;28.4;25.7;null;81;0;0;50
16/01/2000;1200;null;null;null;10;35.6;1010.7;null;25.6;24.8;null;94;0;0;50
16/01/2000;1800;null;null;null;10;24.5;1009.3;null;25.8;24.8;null;92;0;0;50
17/01/2000;0;null;null;null;9;0;1008;null;26;25.2;null;94;0;0;50
17/01/2000;1200;null;null;null;8;0;1011.5;null;24.6;23.9;null;94;0;0;50
17/01/2000;1800;null;null;null;10;2.1;1009.9;null;25.8;24.2;null;88;5;3.3;50
18/01/2000;0;null;null;null;10;4.1;1011.3;null;24;23.6;null;97;0;0;50
18/01/2000;1200;null;null;null;7;5.4;1013.7;null;24.8;23.4;null;89;36;1.3;50
18/01/2000;1800;null;null;null;5;0;1010.9;null;29.3;25.4;null;73;27;1.6;50
