Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
01/01/2000;0;null;null;null;5;0;998.9;null;27.8;26.4;null;90;0;0;60
01/01/2000;1200;null;null;null;10;0;999.8;null;23.4;23.2;null;98;0;0;5
01/01/2000;1800;null;null;null;8;0;998.2;null;31.6;26;null;64;36;3;60
02/01/2000;0;null;null;null;8;0;996.7;null;26.9;25;null;86;0;0;60
02/01/2000;1200;null;null;null;10;11.9;1000;null;23.6;23.3;null;98;0;0;50
02/01/2000;1800;null;null;null;9;0;998.9;null;30.4;26.2;null;72;36;2;60
03/01/2000;0;null;null;null;4;0.2;996.9;null;25.9;25.1;null;94;0;0;20
03/01/2000;1200;null;null;null;10;0;1000;null;24.6;24.4;null;98;0;0;10
03/01/2000;1800;null;null;null;8;0;997.3;null;31.2;25;null;61;32;2;60
04/01/2000;0;null;null;null;3;0;996;null;27.6;25.7;null;86;0;0;60
04/01/2000;1200;null;null;null;9;0;998.8;null;23.6;23.1;null;96;36;2;60
04/01/2000;1800;null;null;null;8;0;998.6;null;32.8;25.8;null;57;32;2;60
05/01/2000;0;null;null;null;10;0.6;996.3;null;25.8;24.8;null;92;0;0;20
05/01/2000;1200;null;null;null;8;0;998.8;null;24.9;24.4;null;96;0;0;60
05/01/2000;1800;null;null;null;8;0;996.4;null;33.3;26.4;null;58;32;2;60
06/01/2000;0;null;null;null;7;0;995.7;null;27.2;26.3;null;93;0;0;60
06/01/2000;1200;null;null;null;8;0;999.9;null;24.8;24.3;null;96;0;0;60
06/01/2000;1800;null;null;null;8;0;998.3;null;33;26.7;null;61;9;2;60
07/01/2000;0;null;null;null;10;0;997.3;null;27.6;25.4;null;84;23;2;60
07/01/2000;1200;null;null;null;9;0;1001.2;null;24;23.6;null;97;0;0;60
07/01/2000;1800;null;null;null;9;0;999;null;30.6;25.9;null;69;36;2;60
08/01/2000;0;null;null;null;4;0;997.6;null;27;25.6;null;89;36;2;60
08/01/2000;1200;null;null;null;10;3.6;1013.8;null;23.7;23.2;null;96;0;0;60
08/01/2000;1800;null;null;null;9;0;997.6;null;31.6;26.3;null;66;36;2;60
09/01/2000;0;null;null;null;10;24.3;996.8;null;22;21.5;null;96;36;2;10
09/01/2000;1200;null;null;null;10;0.3;1001.1;null;22.6;22.4;null;98;0;0;60
09/01/2000;1800;null;null;null;8;0.1;998.1;null;30.3;25.5;null;68;0;0;60
10/01/2000;0;null;null;null;10;0;997.3;null;26.8;25.8;null;92;0;0;60
10/01/2000;1200;null;null;null;8;9.9;1001;null;23.6;23.2;null;97;0;0;60
10/01/2000;1800;null;null;null;7;0;997.3;null;31.7;26;null;64;36;2;60
11/01/2000;0;null;null;null;8;0;998.9;null;27;26;null;92;0;0;10
11/01/2000;1200;null;null;null;7;0;1000.9;null;24;23.5;null;96;32;2;60
11/01/2000;1800;null;null;null;9;0;998.3;null;29.8;26.5;null;77;5;2;60
12/01/2000;0;null;null;null;8;2.3;997;null;23;22.6;null;97;0;0;10
12/01/2000;1200;null;null;null;9;0;1001.1;null;23.9;23.2;null;94;32;2;60
